TABLA DE FRECUENCIAS

Apariciones		Caracter

83338		  (Espacio en blanco)
48041			   e
43090			   a
41080			   i
38455			   o
26398			   n
25939			   r
23088			   l
22612			   t
22221			   s
20267			   c
14856		    (Salto de linea)
14633			   d
14576			   u
11681			   m
10790			   p
8513			   ,
7946			   v
7623			   ’
7155			   g
7110			   h
4981			   f
3274			   .
3025			   q
2758			   b
1848			   z
1628			   ;
1062			   «
1062			   »
988			   :
655			   C
593			   E
548			   I
543			   P
445			   S
412			   L
412			   D
407			   M
387			   A
365			   O
328			   Q
285			   T
278			   ?
269			   V
263			   N
232			   !
223			   B
201			   G
182			   F
138			   X
125			   R
109			   ‘
100			   •
51			   “
51			   ”
45			   U
18			   —
8			   ä
7			   Z
3			   x
3			   (
3			   )
2			   H
2			   j
1			   ö
1			   y
1			   -
