Palabra		   Apariciones
non                     1457
ne                      601
nel                     310
noi                     248
nostra                  66
natura                  64
nostro                  60
nome                    49
nulla                   45
nol                     42
notte                   30
novo                    25
nostri                  24
nota                    24
nova                    24
nostre                  20
novella                 19
nessun                  17
note                    15
nove                    14
no                      14
nacque                  13
nube                    13
nullo                   12
nave                    11
ntelletto               10
nasconde                10
novelle                 10
nferno                  10
ntorno                  10
nido                    10
nodo                    10
nascose                 9
nebbia                  9
neve                    9
naso                    8
nati                    8
nato                    8
noto                    8
nasce                   7
ntesi                   7
nuovo                   7
numero                  6
nuova                   6
nero                    6
novi                    6
necessita               5
natural                 5
nature                  5
nemici                  5
nepote                  5
ngegno                  5
novita                  5
nfino                   5
nomar                   5
nata                    5
nude                    5
nascere                 4
ncendio                 4
nimica                  4
nsieme                  4
ninfe                   4
nozze                   4
nuovi                   4
nera                    4
noia                    4
noma                    4
nver                    4
navicella               3
nascendo                3
naturale                3
nequizia                3
nocchier                3
nascosa                 3
ncontra                 3
ncontro                 3
necesse                 3
nessuno                 3
nominar                 3
novello                 3
nutrice                 3
nacqui                  3
negato                  3
nimico                  3
nnanzi                  3
nomato                  3
ntendi                  3
nvidia                  3
narro                   3
nesso                   3
norma                   3
notai                   3
notar                   3
ntese                   3
neri                    3
nomi                    3
nona                    3
nuda                    3
nudo                    3
novellamente            2
necessitate             2
negligenza              2
nominanza               2
ntelletti               2
nacquero                2
nascesti                2
nascosta                2
negletto                2
nondimen                2
notturno                2
navarra                 2
navicar                 2
nembrot                 2
nessuna                 2
nettare                 2
nettuno                 2
niccolo                 2
notando                 2
noverca                 2
nvoglia                 2
ncarco                  2
ndarno                  2
neente                  2
nemico                  2
ngegni                  2
nieghi                  2
niente                  2
nobile                  2
noccia                  2
nomati                  2
nsegna                  2
ntende                  2
nuvola                  2
nuvole                  2
nuvoli                  2
nverso                  2
natio                   2
negar                   2
negra                   2
nerbo                   2
nobil                   2
nosco                   2
nostr                   2
nteso                   2
nuove                   2
nuvol                   2
nate                    2
nego                    2
nere                    2
nfin                    2
nidi                    2
nilo                    2
nomo                    2
nudi                    2
null                    2
nei                     2
noe                     2
nabuccodonosor          1
nascosamente            1
naturalmente            1
nascondesse             1
necessitato             1
nobilitasti             1
ntendimento             1
nascimenti              1
necessario              1
negghienza              1
negligente              1
nghiottiva              1
nnanellata              1
nobilitate              1
nodrimento              1
ntenerisce              1
nviluppata              1
narrazion               1
nascondea               1
navarrese               1
navicanti               1
nazarette               1
ncurvaron               1
nembrotto               1
nfiammati               1
nocchiere               1
nocchiero               1
nominommi               1
nondimeno               1
normandia               1
noteranno               1
novecento               1
novissimo               1
ntendendo               1
numerando               1
nuvoletta               1
nvetriate               1
nvieranno               1
nvogliava               1
narcisso                1
nascente                1
nasconda                1
nascosto                1
ncarcati                1
nebulosa                1
negletta                1
negletti                1
niccosia                1
nnocenti                1
nobilita                1
nonpoder                1
nonpossa                1
norvegia                1
nostrali                1
notabile                1
notabili                1
notturna                1
novembre                1
novitadi                1
novitate                1
nsegnate                1
nsegnera                1
nvidiosi                1
nviscava                1
narrata                 1
narrate                 1
nascete                 1
nasceva                 1
nasetto                 1
nasidio                 1
natiche                 1
navigio                 1
nazione                 1
nchiese                 1
nchiude                 1
ndivine                 1
ndugiai                 1
negando                 1
negasse                 1
negassi                 1
negozio                 1
ngrossa                 1
nicchia                 1
nnamora                 1
noarese                 1
nobilta                 1
nodriro                 1
noiando                 1
nomarlo                 1
nomasse                 1
nostral                 1
notizia                 1
notizie                 1
notrica                 1
novizia                 1
nsembre                 1
ntrammo                 1
ntrassi                 1
ntronan                 1
nviarci                 1
naiade                  1
napoli                  1
narrai                  1
narrar                  1
nascer                  1
nastro                  1
nasuto                  1
nazion                  1
ncensi                  1
negate                  1
nemica                  1
nescia                  1
nfamia                  1
nfiata                  1
nfiora                  1
nforco                  1
nfuria                  1
nganni                  1
nganno                  1
nitide                  1
nocchi                  1
nocera                  1
nocivo                  1
nocque                  1
nodosi                  1
nodrir                  1
nomava                  1
nomero                  1
nonche                  1
notaro                  1
nsegni                  1
nsidie                  1
ntanto                  1
ntento                  1
nteser                  1
ntrati                  1
ntrona                  1
ntrono                  1
nubent                  1
nvidio                  1
nvitar                  1
nvolti                  1
nacqu                   1
nanna                   1
nardo                   1
nasca                   1
natan                   1
ncise                   1
nduce                   1
nella                   1
neque                   1
nerli                   1
nervi                   1
netta                   1
nette                   1
niega                   1
niego                   1
nigri                   1
niobe                   1
nodri                   1
norme                   1
notan                   1
notti                   1
ntesa                   1
nuoce                   1
nuota                   1
nvita                   1
nega                    1
neun                    1
nino                    1
niso                    1
noce                    1
nodi                    1
noli                    1
nono                    1
noti                    1
nuca                    1
numi                    1
nuro                    1
nvii                    1
nil                     1
nin                     1
ni                      1
