Palabra		   Apariciones
era                     189
essere                  37
ebbe                    37
erano                   36
esser                   25
ecco                    16
ed                      14
entro                   13
entrato                 12
elemosina               9
essendo                 8
egli                    8
ero                     8
eugenio                 7
entrare                 6
eccolo                  6
eppure                  6
etci                    5
eri                     5
entrarono               4
ebbene                  4
ebbero                  4
eccomi                  4
erba                    4
esce                    4
enorme                  3
empi                    3
ehi                     3
eta                     3
eh                      3
eccellente              2
eccellenza              2
elegante                2
entrando                2
esercizi                2
editori                 2
entrati                 2
esempio                 2
eccola                  2
eccoli                  2
eterna                  2
esito                   2
eco                     2
esercitava              1
esitarono               1
esultanza               1
edizione                1
empirono                1
equestre                1
eseguiti                1
educate                 1
educato                 1
effetto                 1
embrici                 1
energia                 1
entrata                 1
esitava                 1
essersi                 1
evitare                 1
eccoci                  1
eccovi                  1
eroico                  1
escono                  1
europa                  1
evviva                  1
esami                   1
estro                   1
elmo                    1
eroe                    1
ette                    1
