Palabra		   Apariciones
ragazzi                 70
rispose                 57
ragazzo                 56
replico                 26
ripete                  20
rimasto                 17
rimase                  17
ridere                  16
resto                   15
retta                   15
ragione                 13
ridendo                 11
rideva                  11
rumore                  10
ritorna                 9
ritrova                 9
ritto                   9
rosso                   9
riprese                 8
ramo                    8
riva                    8
ricordatevi             7
risposta                6
risata                  6
rizzandosi              5
ragazzino               5
richiuse                5
rimanere                5
rimasero                5
regola                  5
rami                    5
rete                    5
ridi                    5
roba                    5
raggiungere             4
raccontero              4
ragazzetto              4
raggiunto               4
ricordati               4
risposero               4
ragliare                4
risoluto                4
respiro                 4
regala                  4
regalo                  4
riesce                  4
risate                  4
riusci                  4
rido                    4
rabbiosamente           3
raccomandarsi           3
ricordandosi            3
rispettabile            3
raccogliere             3
riconoscono             3
ringraziare             3
raccontare              3
rispondere              3
ragliando               3
restavano               3
riconobbe               3
risentito               3
ritornare               3
ritornato               3
riverenza               3
raccolti                3
racconto                3
ragnotti                3
rasciugo                3
reggersi                3
ricevuto                3
rifinito                3
rilegato                3
reggere                 3
rendimi                 3
ricordo                 3
rimasta                 3
rimane                  3
risero                  3
razza                   3
ricco                   3
rizzo                   3
rena                    3
reso                    3
ruba                    3
raccomandandosi         2
raddoppiarono           2
riconoscenza            2
rimettiamoci            2
rivoltandosi            2
ragazzaccio             2
raggiunsero             2
rasciugarmi             2
rasciugarsi             2
riparleremo             2
ripartiremo             2
risoluzione             2
ricomincio              2
ricompensa              2
ricondurlo              2
rispondeva              2
rispondimi              2
ritagliava              2
raggiunge               2
rendergli               2
riavutosi               2
riconobbi               2
rilucente               2
rinchiuso               2
ringrazio               2
ritornera               2
rizzatosi               2
raccatto                2
rammenti                2
rammento                2
rassegno                2
riccioli                2
richiusa                2
ricompra                2
riguardi                2
rimaneva                2
rispetto                2
rispondi                2
ritratto                2
riuscire                2
rivedere                2
rizzarsi                2
ragioni                 2
ricopri                 2
ricordi                 2
rifarti                 2
rimango                 2
rimaste                 2
rimasti                 2
rimendi                 2
rimonta                 2
ripreso                 2
risputo                 2
ritorni                 2
ritorno                 2
rompere                 2
rabbia                  2
recita                  2
riapri                  2
riebbe                  2
rimani                  2
rimasi                  2
rubare                  2
raso                    2
rifa                    2
rispettosamente         1
rammaricandosi          1
riconoscendola          1
ringraziandoli          1
raccapezzarsi           1
ricominciando           1
ricompensarvi           1
riconoscevano           1
rincorrendosi           1
rintontimento           1
riscaldandosi           1
risolutamente           1
raccogliendo            1
raccomandava            1
raddoppiando            1
raggiungerlo            1
ragionamenti            1
ragionamento            1
riconoscesse            1
riconosciuti            1
ricordartene            1
rigeneratore            1
rimettendosi            1
rimpiangendo            1
rincorrevano            1
ringraziarti            1
rispettabili            1
ritornarsene            1
rivolgendosi            1
ruzzolandosi            1
raccoglieva             1
raddoppiare             1
raddoppiava             1
ragionevole             1
ragionevoli             1
rammentarti             1
rasciugarli             1
rassegnarsi             1
rattrappita             1
restituisce             1
richiudersi             1
riconduceva             1
riconoscere             1
rimanendovi             1
rimetteremo             1
ringraziato             1
ripiegarono             1
ripigliando             1
riscaldarmi             1
riscaldarsi             1
risparmiata             1
risparmiato             1
risputavano             1
ritagliarlo             1
ritiriamolo             1
ritroveremo             1
rivendetemi             1
rivenditore             1
rivestitosi             1
rivoltavano             1
rivoluzione             1
rosseggiare             1
raccoglilo              1
raccomanda              1
raccontami              1
raccontato              1
ragazzacci              1
ragazzetti              1
rammentate              1
rammentati              1
rammentava              1
rammentero              1
rammentino              1
rassegnati              1
rassegnero              1
regaleremo              1
renderanno              1
riappariva              1
ricambiati              1
ricascando              1
ricomincia              1
riconsegno              1
riempitala              1
rifacciamo              1
rimbalzati              1
